original_index,text_column,text,negative,neutral,positive,sentiment,date,year,month
0,Article,Ai Can Write But Is It Any Good At Picking Stocks Quicktake,0.056116290390491486,0.027710147202014923,0.9161735773086548,positive,2023-07-17,2023,7
1,Article,Why Artificial Intelligence Is So Expensive,0.032591260969638824,0.11768006533384323,0.8497286438941956,positive,2024-04-30,2024,4
2,Article,Deepseek Ai Platform Brings A 1 Trillion Market Reckoning On Cost,0.3719741702079773,0.017243608832359314,0.6107822060585022,positive,2025-01-28,2025,1
3,Article,Abu Dhabi Forms 25 Billion Us Energy Venture To Power Ai,0.1968674510717392,0.007613465189933777,0.7955191135406494,positive,2025-03-19,2025,3
4,Article,Ai Cloud Firm Coreweave Seeking Ipo Of About 2 5 Billion,0.10682377964258194,0.009445814415812492,0.8837304711341858,positive,2025-03-19,2025,3
5,Article,Chinese Ai Startup Manycore Makes Global Push Amid Us Tensions,0.6899075508117676,0.05619196221232414,0.2539004385471344,negative,2025-03-19,2025,3
6,Article,Ai Pioneer Sees Handful Of Models Surviving Us China Shakeout,0.18766279518604279,0.02764003723859787,0.7846972346305847,positive,2025-03-20,2025,3
7,Article,Apple Vision Pro Chief Mike Rockwell Named Siri Head Giannandrea Keeps Ai Role,0.035458292812108994,0.057676415890455246,0.9068652391433716,positive,2025-03-20,2025,3
8,Article,How Microsoft Lured Inflection Ai S Staff To Abandon The Startup,0.03390767052769661,0.12280344218015671,0.8432888984680176,positive,2025-03-20,2025,3
9,Article,Measuring Ai S Effects On Productivity Is Tough Here S Why,0.0371667705476284,0.18921121954917908,0.7736220359802246,positive,2025-03-20,2025,3
10,Article,Micron Gives Upbeat Sales Forecast After Ai Helps Fuel Demand,0.9138100147247314,0.023144131526350975,0.06304585188627243,negative,2025-03-20,2025,3
11,Article,Nvidia Will Spend Hundreds Of Billions On Chips Made In Us Ft,0.19249844551086426,0.008455666713416576,0.7990458607673645,positive,2025-03-20,2025,3
12,Article,Perplexity In Early Talks For Funding At 18 Billion Value,0.10311378538608551,0.1869472861289978,0.7099388837814331,positive,2025-03-20,2025,3
13,Article,Stanford Harvard Grads Seek China Ai Startup Jobs Founder Says,0.10674883425235748,0.03810688853263855,0.8551442623138428,positive,2025-03-20,2025,3
14,Article,Video The New Magnets That Could Change The World,0.16295389831066132,0.013138290494680405,0.8239078521728516,positive,2025-03-20,2025,3
15,Article,Ai Chatter Hits Record On European Earnings Calls Across Sectors,0.9059126377105713,0.022706856951117516,0.07138050347566605,negative,2025-03-21,2025,3
16,Article,Coreweave Ipo Is Said To Be Oversubscribed After First Day,0.012484893202781677,0.8650057911872864,0.12250932306051254,neutral,2025-03-21,2025,3
17,Article,Elon Musk Asks Tesla Employees To Hang On To Stock Despite 40 Drop,0.06373324245214462,0.043927598744630814,0.8923391103744507,positive,2025-03-21,2025,3
