original_index,text_column,text,negative,neutral,positive,sentiment,date,year,month
0,Article,Bessent Says Administration Moving Forward On Harvard Tax Threat,0.5842500329017639,0.02665206417441368,0.3890979290008545,negative,2025-05-23,2025,5
1,Article,Eu And Us To Hold Trade Call Friday Amid Differences On Tariffs,0.05049898102879524,0.7738539576530457,0.1756470650434494,neutral,2025-05-23,2025,5
2,Article,Europe Japan Fighter Jet Races Against China S Military Progress,0.11544174700975418,0.11152632534503937,0.7730319499969482,positive,2025-05-23,2025,5
3,Article,European Officials Urge Calm Facing Trump 50 Tariff Threat,0.2943386435508728,0.33470410108566284,0.3709571957588196,neutral,2025-05-23,2025,5
4,Article,Harvard Says It Sues Us Over Trump Foreign Student Ban,0.012834068387746811,0.9311867356300354,0.055979203432798386,neutral,2025-05-23,2025,5
5,Article,Here S What S In The Eu Trade Proposal That Trump Just Rejected,0.0690242126584053,0.01595059223473072,0.9150252342224121,positive,2025-05-23,2025,5
6,Article,India Us Hold Constructive Trade Talks Says Piyush Goyal,0.5895431637763977,0.02868736907839775,0.38176947832107544,negative,2025-05-23,2025,5
7,Article,Iran And Us Start Fifth Round Of Nuclear Talks In Rome,0.058097705245018005,0.03567994385957718,0.9062222838401794,positive,2025-05-23,2025,5
8,Article,Iran Says Time To Decide Ahead Of New Nuclear Talks With Us,0.09456637501716614,0.017597002908587456,0.8878366351127625,positive,2025-05-23,2025,5
9,Article,Merz Calls On Xi To Support Ukraine Peace Effort In First Call,0.6575356721878052,0.013573846779763699,0.32889050245285034,negative,2025-05-23,2025,5
10,Article,Philippines Marcos Keeps Economic Team Amid Cabinet Shakeup,0.20634610950946808,0.40761470794677734,0.386039137840271,neutral,2025-05-23,2025,5
11,Article,Poland Says Intercepted Russian Su 24 Bomber Over Baltic Sea,0.08129998296499252,0.517549455165863,0.4011506140232086,neutral,2025-05-23,2025,5
12,Article,Polish Ruling Party Candidate Fights Back In Presidential Debate,0.13311736285686493,0.6694362163543701,0.19744645059108734,neutral,2025-05-23,2025,5
13,Article,Redbird Agrees To Buy Telegraph Ending Uk Newspaper S Limbo,0.24402815103530884,0.010273180902004242,0.7456986308097839,positive,2025-05-23,2025,5
14,Article,Senior Us China Officials Vow To Keep Communication Lines Open,0.24798975884914398,0.06557324528694153,0.6864370107650757,positive,2025-05-23,2025,5
15,Article,South African Police Minister Debunks Trump S Genocide Claim,0.1496998816728592,0.3445022702217102,0.5057979226112366,positive,2025-05-23,2025,5
16,Article,South Korea S Presidential Race Tightens Sharply After Tv Debate,0.02110791578888893,0.9116997718811035,0.06719236820936203,neutral,2025-05-23,2025,5
17,Article,Summers Slams Trump For Vicious Ban On Foreign Students From Harvard,0.04712885618209839,0.8076726794242859,0.1451985090970993,neutral,2025-05-23,2025,5
18,Article,Supreme Court Temporarily Halts Order To Produce Doge Records,0.012592216953635216,0.8575353622436523,0.1298723965883255,neutral,2025-05-23,2025,5
19,Article,Surge In Cannabis Smuggling Prompts Thailand To Tighten Rules,0.03512008488178253,0.9027875661849976,0.06209234148263931,neutral,2025-05-23,2025,5
20,Article,Suriname Election New President To Navigate Impending Oil Boom,0.2106713205575943,0.22231939435005188,0.5670092701911926,positive,2025-05-23,2025,5
21,Article,These World Leaders Went To Harvard Before Trump S Foreign Student Ban,0.045547887682914734,0.04235437884926796,0.9120978116989136,positive,2025-05-23,2025,5
22,Article,Trump Attack On Harvard Students Reverberates Around The World,0.04261628910899162,0.16450683772563934,0.7928768992424011,positive,2025-05-23,2025,5
23,Article,Trump Backs Us Steel Nippon Partnership Following Cfius Review,0.3077988922595978,0.07644287496805191,0.6157581806182861,positive,2025-05-23,2025,5
24,Article,Trump Downsizes National Security Council In Latest Staff Cuts,0.014178769662976265,0.9431397914886475,0.04268135875463486,neutral,2025-05-23,2025,5
25,Article,Trump Lauds Major Prisoner Swap Between Ukraine And Russia,0.03802260011434555,0.901309072971344,0.060668278485536575,neutral,2025-05-23,2025,5
26,Article,Trump Signs Orders To Revive Us Leadership In Nuclear Power,0.5725389719009399,0.025293465703725815,0.40216752886772156,negative,2025-05-23,2025,5
27,Article,Trump Team S Game Of Thrones On Venezuela Whiplashes Chevron,0.05994775518774986,0.21465060114860535,0.7254015803337097,positive,2025-05-23,2025,5
28,Article,Trump Threatens A 50 Tariff On Eu Goods Starting In June,0.06418564170598984,0.5282931327819824,0.4075213074684143,neutral,2025-05-23,2025,5
29,Article,Turkey Bans Images Of Istanbul Mayor Ekrem Imamoglu,0.016592351719737053,0.7430471181869507,0.24036051332950592,neutral,2025-05-23,2025,5
30,Article,Tycoon Mordashov S Local Spat Signals Changing Elite In Russia,0.12570145726203918,0.05947674810886383,0.8148217797279358,positive,2025-05-23,2025,5
31,Article,Ukraine Says Drones Struck Russian Battery Plant For Missiles,0.032768189907073975,0.8409934043884277,0.12623843550682068,neutral,2025-05-23,2025,5
32,Article,Us Debt Limit Nail Biter Looms As Senate Ponders Trump Tax Bill,0.060935549437999725,0.758081316947937,0.18098317086696625,neutral,2025-05-23,2025,5
33,Article,Us Importers Pay Record 16 5 Billion As April Tariff Bill Lands,0.211325004696846,0.04975035414099693,0.7389246225357056,positive,2025-05-23,2025,5
34,Article,Us Moves To Ease Sanctions On Syria After Trump Met New Leader,0.7896523475646973,0.08615157008171082,0.12419616430997849,negative,2025-05-23,2025,5
35,Article,Us Tariff Countdown Has Nations Racing To Turn Talks Into Deals,0.3281034231185913,0.030026819556951523,0.6418697834014893,positive,2025-05-23,2025,5
36,Article,Venezuela Detains Opposition Leader On Election Boycott Claims,0.02295585907995701,0.8792632818222046,0.09778083115816116,neutral,2025-05-23,2025,5
37,Article,What Role Does China Play In The India Pakistan Conflict,0.03166013956069946,0.038146086037158966,0.9301937222480774,positive,2025-05-23,2025,5
38,Article,Bangladesh S Interim Government Says It Will Stay The Course,0.11389321833848953,0.044627845287323,0.8414788842201233,positive,2025-05-24,2025,5
39,Article,Billionaires Boost Cuomo S Fundraising Lead In Nyc Mayor S Race,0.9213613271713257,0.02757672406733036,0.05106198415160179,negative,2025-05-24,2025,5
40,Article,Buy American How Europe Must Stock Up On Weapons For Ukraine,0.2809053957462311,0.014472812414169312,0.7046217918395996,positive,2025-05-24,2025,5
41,Article,Chevron Cvx Venezuela Seen Getting Us License For Minimum Maintenance,0.7828565835952759,0.010877877473831177,0.20626549422740936,negative,2025-05-24,2025,5
42,Article,Eu Weighs Cutting 20 Banks From Swift In New Russia Sanctions,0.018389258533716202,0.9252846837043762,0.056326013058423996,neutral,2025-05-24,2025,5
43,Article,Harvard Reprieve For Foreign Students Won T Stop Looming Threats,0.29723355174064636,0.25001823902130127,0.45274823904037476,neutral,2025-05-24,2025,5
44,Article,India Pakistan Battle For Global Sympathy After Border Truce,0.18531058728694916,0.23933404684066772,0.5753554105758667,positive,2025-05-24,2025,5
45,Article,Malaysia S Anwar Defends Lengthening Tenure Of Anti Graft Chief,0.30175334215164185,0.22530311346054077,0.47294357419013977,neutral,2025-05-24,2025,5
46,Article,Noboa Inauguration Ecuador Adopting Bukele Style Emergency Powers,0.20332668721675873,0.02718876674771309,0.7694845199584961,positive,2025-05-24,2025,5
47,Article,Polish Ruling Party Candidate Pushes Back Against Far Right,0.30675598978996277,0.45461714267730713,0.23862692713737488,neutral,2025-05-24,2025,5
48,Article,Trump Forces Switzerland To Question Its Love For Farmers,0.10789020359516144,0.19470351934432983,0.6974062919616699,positive,2025-05-24,2025,5
49,Article,Trump S New Tariff Threats Show Trade Uncertainty Here To Stay,0.06395620852708817,0.807702362537384,0.12834137678146362,neutral,2025-05-24,2025,5
50,Article,Turkey S Top Diplomat Heads For Russia To Discuss Ukraine Syria,0.07910388708114624,0.03437178581953049,0.8865243196487427,positive,2025-05-24,2025,5
51,Article,Uk Officials Probe Russian Involvement In Starmer Fires Ft Says,0.042239051312208176,0.3895399570465088,0.5682209730148315,positive,2025-05-24,2025,5
52,Article,Ukraine Capital Struck In Russian Drone Missile Attack Ap Says,0.044984206557273865,0.8284252285957336,0.1265905350446701,neutral,2025-05-24,2025,5
53,Article,Asean Must Keep Joining Global Supply Chains Thai Minister Says,0.31635671854019165,0.026908831670880318,0.6567344069480896,positive,2025-05-25,2025,5
54,Article,Australia S Opposition Parties On Track To Return To Coalition,0.4272684156894684,0.09850911051034927,0.4742225408554077,neutral,2025-05-25,2025,5
55,Article,Canada S Liberals Decide Against New Rules To Oust Party Leader Mark Carney,0.030484618619084358,0.8392329812049866,0.13028240203857422,neutral,2025-05-25,2025,5
56,Article,German Finance Minister Urges Calm In Us Tariff Fight Bild Says,0.1612986922264099,0.3779238164424896,0.46077752113342285,neutral,2025-05-25,2025,5
57,Article,Israeli Military Aims To Take Over 75 Of Gaza Within Two Months,0.06313177943229675,0.04999488219618797,0.8868733644485474,positive,2025-05-25,2025,5
58,Article,Macron Kicks Off Asia Tour In Vietnam With Focus On Energy,0.11432568728923798,0.02523759752511978,0.8604366779327393,positive,2025-05-25,2025,5
59,Article,North Korea Detains Officials After Failed Warship Launch Kcna,0.030399374663829803,0.8064145445823669,0.16318611800670624,neutral,2025-05-25,2025,5
60,Article,Polish Election Contenders Rally Supporters A Week Before Runoff,0.1821494698524475,0.5751705169677734,0.2426799237728119,neutral,2025-05-25,2025,5
